"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"MIR1199",-0.694491211230353,-0.54221592403667,-0.331154164361153,-0.536915803764661,-0.32222136101483,0.649133687217546,0.54221592403667,0.54221592403667,0.649133687217546,0.331154164361153,0.649133687217546,-0.649133687217546,-0.595948502032361,0.649133687217546,0,0.649133687217546,-0.499746393500624,0.534251802587903,-0.595948502032361,0.595948502032361
"HAS2",0.649133687217546,0.503268555615617,0.306182933060807,0.485112051960909,0.30150524848286,-0.595948502032361,-0.503268555615617,-0.503268555615617,-0.595948502032361,-0.306182933060807,-0.595948502032361,0.595948502032361,0.634972892276263,-0.595948502032361,0,-0.595948502032361,0.454437012263099,-0.496946103106037,0.534972892276263,-0.534972892276263
"HA",0.694491211230353,0.54221592403667,0.331154164361153,0.536915803764661,0.32222136101483,-0.649133687217546,-0.54221592403667,-0.54221592403667,-0.649133687217546,-0.331154164361153,-0.649133687217546,0.649133687217546,0.595948502032361,-0.649133687217546,0,-0.649133687217546,0.499746393500624,-0.534251802587903,0.595948502032361,-0.595948502032361
"GRHL2",-0.808656591987499,-0.661252571244473,-0.347516875222291,-0.651924706120493,-0.341814918403253,0.761226227138539,0.661252571244473,0.661252571244473,0.761226227138539,0.347516875222291,0.761226227138539,-0.761226227138539,-0.70596021193767,0.761226227138539,0,0.761226227138539,-0.616362310302639,0.652361696149348,-0.70596021193767,0.80596021193767
"EXTGFB",0.323337119943632,0.291650842437813,0.244638368319916,0.315776074689118,0.159939068079869,-0.3044291320771,-0.291650842437813,-0.291650842437813,-0.3044291320771,-0.244638368319916,-0.3044291320771,0.3044291320771,0.285894953077805,-0.3044291320771,0,-0.3044291320771,0.287177664419041,-0.30874764272376,0.285894953077805,-0.285894953077805
"ESRP1",-0.649133687217546,-0.503268555615617,-0.306182933060807,-0.485112051960909,-0.30150524848286,0.595948502032361,0.503268555615617,0.503268555615617,0.595948502032361,0.306182933060807,0.595948502032361,-0.595948502032361,-0.534972892276263,0.595948502032361,0,0.595948502032361,-0.454437012263099,0.496946103106037,-0.634972892276263,0.534972892276263
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",0.694491211230353,0.54221592403667,0.331154164361153,0.536915803764661,0.32222136101483,-0.649133687217546,-0.54221592403667,-0.54221592403667,-0.649133687217546,-0.331154164361153,-0.649133687217546,0.649133687217546,0.595948502032361,-0.649133687217546,0,-0.649133687217546,0.499746393500624,-0.534251802587903,0.595948502032361,-0.595948502032361
"CD24",-0.694491211230353,-0.54221592403667,-0.331154164361153,-0.536915803764661,-0.32222136101483,0.649133687217546,0.54221592403667,0.54221592403667,0.649133687217546,0.331154164361153,0.649133687217546,-0.649133687217546,-0.595948502032361,0.649133687217546,0,0.649133687217546,-0.499746393500624,0.534251802587903,-0.595948502032361,0.595948502032361
