"","CD24","CD44s","CDH1","EMT","ESRP1","EX.TGFB","GRHL2","HA","HAS2","MIR.1199","MIR.129","MIR.190","MIR.200","MIR.34","MIR.340","SNAIL1","TGFB","TWIST1","VIM","ZEB1"
"MIR-129",0.354533638931062,-0.354533638931062,0.631260389221589,-0.468921390282515,0.354533638931062,-0.0967856608425123,0.354533638931062,-0.354533638931062,-0.354533638931062,0.354533638931062,1,0.354533638931062,0.416059213813025,0.494593843519827,0.354533638931062,-0.60000416073637,-0.403628900392666,-1,-0.431461897975893,-0.354533638931062
"MIR-190",1,-1,0.723260974296379,-0.863568154059062,1,-0.0777622333255711,1,-1,-1,1,0.354533638931062,1,0.87434717079101,0.795797630719451,1,-0.690387720707375,-0.886772625105927,-0.354533638931062,-0.888187160047023,-1
"MIR-200",0.87434717079101,-0.87434717079101,0.784785588811106,-0.88541419010201,0.87434717079101,-0.153314366054938,0.87434717079101,-0.87434717079101,-0.87434717079101,0.87434717079101,0.416059213813025,0.87434717079101,1,0.870949065911162,0.87434717079101,-0.816040527037169,-0.987575341852848,-0.416059213813025,-0.893598927576164,-0.87434717079101
"MIR-34",0.795797630719451,-0.795797630719451,0.863328255162663,-0.901817568008775,0.795797630719451,-0.231863400315718,0.795797630719451,-0.795797630719451,-0.795797630719451,0.795797630719451,0.494593843519827,0.795797630719451,0.870949065911162,1,0.795797630719451,-0.894589216344224,-0.858521606432084,-0.494593843519827,-0.885972324539886,-0.795797630719451
"MIR-340",1,-1,0.723260974296379,-0.863568154059062,1,-0.0777622333255711,1,-1,-1,1,0.354533638931062,1,0.87434717079101,0.795797630719451,1,-0.690387720707375,-0.886772625105927,-0.354533638931062,-0.888187160047023,-1
"SNAIL1",-0.690387720707375,0.690387720707375,-0.914630269376299,0.826864097212474,-0.690387720707375,0.33727376025737,-0.690387720707375,0.690387720707375,0.690387720707375,-0.690387720707375,-0.60000416073637,-0.690387720707375,-0.816040527037169,-0.894589216344224,-0.690387720707375,1,0.80361288440996,0.60000416073637,0.802204331373977,0.690387720707375
"TGFB",-0.886772625105927,0.886772625105927,-0.772356709436954,0.881799801144775,-0.886772625105927,0.140887607396877,-0.886772625105927,0.886772625105927,0.886772625105927,-0.886772625105927,-0.403628900392666,-0.886772625105927,-0.987575341852848,-0.858521606432084,-0.886772625105927,0.80361288440996,1,0.403628900392666,0.895198720564993,0.886772625105927
"TWIST1",-0.354533638931062,0.354533638931062,-0.631260389221589,0.468921390282515,-0.354533638931062,0.0967856608425124,-0.354533638931062,0.354533638931062,0.354533638931062,-0.354533638931062,-1,-0.354533638931062,-0.416059213813025,-0.494593843519827,-0.354533638931062,0.60000416073637,0.403628900392666,1,0.431461897975893,0.354533638931062
"VIM",-0.888187160047023,0.888187160047023,-0.800200128487382,0.962534958748652,-0.888187160047023,0.162322542920154,-0.888187160047023,0.888187160047023,0.888187160047023,-0.888187160047023,-0.431461897975893,-0.888187160047023,-0.893598927576164,-0.885972324539886,-0.888187160047023,0.802204331373977,0.895198720564993,0.431461897975893,1,0.888187160047023
"ZEB1",-1,1,-0.723260974296379,0.863568154059062,-1,0.0777622333255711,-1,1,1,-1,-0.354533638931062,-1,-0.87434717079101,-0.795797630719451,-1,0.690387720707375,0.886772625105927,0.354533638931062,0.888187160047023,1
