"","ZEB1","VIM","TWIST1","TGFB","SNAIL1","MIR340","MIR34","MIR200","MIR190","MIR129","MIR1199","HAS2","HA","GRHL2","EXTGFB","ESRP1","EMT","CDH1","CD44s","CD24"
"MIR1199",-0.167563870084611,-0.126209281062359,0.0511971148915549,-0.174981195813721,-0.0422916707071527,0.153414331806386,-0.126209281062359,0.154949613998447,0.153414331806386,0.0511971148915549,-0.153414331806386,0.153414331806386,0.173040500030685,0.153414331806386,0,0.153414331806386,-0.0209095888208663,0.155820880539113,-0.173040500030685,-0.173040500030685
"HAS2",0.153414331806386,0.134849955456458,-0.0346674345262581,0.150150277939325,0.0437107813977865,-0.173040500030685,0.134849955456458,-0.170650351616993,-0.173040500030685,-0.0346674345262581,0.173040500030685,-0.173040500030685,-0.0473407544836116,-0.173040500030685,0,-0.173040500030685,0.00891526660652985,-0.173954683356014,0.147340754483612,0.147340754483612
"HA",0.167563870084611,0.126209281062359,-0.0511971148915549,0.174981195813721,0.0422916707071527,-0.153414331806386,0.126209281062359,-0.154949613998447,-0.153414331806386,-0.0511971148915549,0.153414331806386,-0.153414331806386,-0.173040500030685,-0.153414331806386,0,-0.153414331806386,0.0209095888208663,-0.155820880539113,0.173040500030685,0.173040500030685
"GRHL2",-0.283787230297325,-0.265390105530176,0.0623691356423289,-0.270512939960316,-0.0648308562375083,0.278405668762257,-0.265390105530176,0.251838074143834,0.278405668762257,0.0623691356423289,-0.278405668762257,0.278405668762257,0.286685923539327,0.278405668762257,0,0.278405668762257,0.00449033290608856,0.252075719622332,-0.286685923539327,-0.386685923539327
"EXTGFB",-0.0415499741825819,-0.107266969782142,0.0523283980694,0.060548239692418,-0.078574214583388,0.0435067198056509,-0.107266969782142,-0.0606681127303952,0.0435067198056509,0.0523283980694,-0.0435067198056509,0.0435067198056509,0.0470200017251025,0.0435067198056509,0,0.0435067198056509,0.0814611381697988,-0.0548699219550768,-0.0470200017251025,-0.0470200017251025
"ESRP1",0.153414331806386,0.134849955456458,-0.0346674345262581,0.150150277939325,0.0437107813977865,-0.173040500030685,0.134849955456458,-0.170650351616993,-0.173040500030685,-0.0346674345262581,0.173040500030685,-0.173040500030685,-0.147340754483612,-0.173040500030685,0,-0.173040500030685,0.00891526660652985,-0.173954683356014,0.0473407544836116,0.147340754483612
"EMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0
"CD44s",-0.167563870084611,-0.126209281062359,0.0511971148915549,-0.174981195813721,-0.0422916707071527,0.153414331806386,-0.126209281062359,0.154949613998447,0.153414331806386,0.0511971148915549,-0.153414331806386,0.153414331806386,0.173040500030685,0.153414331806386,0,0.153414331806386,-0.0209095888208663,0.155820880539113,-0.173040500030685,-0.173040500030685
"CD24",0.167563870084611,0.126209281062359,-0.0511971148915549,0.174981195813721,0.0422916707071527,-0.153414331806386,0.126209281062359,-0.154949613998447,-0.153414331806386,-0.0511971148915549,0.153414331806386,-0.153414331806386,-0.173040500030685,-0.153414331806386,0,-0.153414331806386,0.0209095888208663,-0.155820880539113,0.173040500030685,0.173040500030685
